,Unnamed: 0,id,title,author,day,first_genre,second_genre,story,platform
10,10,10,불패검선,"FIST CAT,김찬영,적하",월,무협,,"시골 객점의 아들 송우문.
어릴 적부터 몸이 약했던 그는
어느 날 노도사가 그려 주고 간
산수화를 보고 바보가 된다.

그렇게 동네에선 바보라 놀림받고
부모에겐 한심한 아들로 자라지만

스무 살이 되던 날!
각성과 함께 산수화 속 절대무공을 꽃피운다!",카카오웹툰
11,11,11,튜토리얼이 너무 어렵다,"이마에 다이키,gandara",월,소년,,"gandara 퓨전 판타지 장편소설 '튜토리얼이 너무 어렵다' 가 웹툰으로 독자 여러분을 찾아갑니다.

삶이 무료하던 어느 날, 내 눈앞에 나타난 초대 메세지. 
[튜토리얼 세계에 입장하시겠습니까?] 

그리고 뒤이어 나타난 난이도 선택 창. 
[이지] [노말] [하드] [헬] 나는 주저없이 헬 난이도를 선택했다. 

그리고 후회했다. 

아무리 헬 난이도라지만, 이건 너무 심하잖아.",카카오웹툰
12,12,12,4000년 만에 귀환한 대마도사,"따개비,김덕용(REDICE STUDIO),낙하산",월,소년,,"웨스트로드 아카데미의 열등생, 블레이크 가문의 수치.
괴로운 삶을 이기지 못해 죽음을 선택한
프레이 블레이크의 몸에 새로운 영혼이 깃든다.
​
“뭐야, 이 몸뚱이는?
하나부터 열까지 손 봐야겠군.”
​
대마도사 루카스 트로우맨.
​
열등생 프레이 블레이크의 육체로 복수의 기회를 얻다!
​
4000년의 시간을 넘어 귀환한
대마도사의 화려한 액션이 시작된다!",카카오웹툰
13,13,13,환골탈태,마고(mago),월,드라마,,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발....

이 해괴하고 귀여운 생물체는 대체 무엇?!

해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다.

드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이!
그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나?

인간계 대행 서비스 센터는 연결이 되지 않고,
졸지에 돌연변이 아기 고양이를 떠맡은 해골!

설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데....

아기 고양이... 키울 수 있을까?!

마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 
육아 대작전이 시작합니다!",카카오웹툰
14,14,14,무협지 최고 악당의 귀한 딸입니다,"다우,쌀국수,솔땀",월,로판,,"부잣집 딸로 환생한 줄 알았건만, 무협지 최고 악당의 딸로 태어났다?!
무관심한 아빠, 결국 날 죽이는 오빠,
살아남기 위해선 어서 무공을 익혀 튀어야 하는데...!
이 두 빠빠... 왜 자꾸 날 귀여워하는겨?!",카카오웹툰
15,15,15,사내 맞선,"들깨,NARAK,해화",월,로맨스,,"“결혼합시다.”

친구를 대신해 나간 맞선 자리.
목표는 차이는 것!
컨셉은 남녀 가리지 않는 섹시 팜므파탈!

“강태무 씨 하시는 일은 뭐예요?”
“성운기업에 다니고 있습니다.”
“어머! 성운기업? 거긴 잘 알죠. 왜냐하면…”

우리 회사니까!!!!!!!!

내가 어쩌다가 우리 회사 사장님과 맞선을 본 거야ㅠㅠ
게다가 이 사장님은 왜 다짜고짜 결혼하자고 하는데?!!!

거짓말 극혐하기로 유명한 사장님.
정체를 들키는 순간… 바로 해고닷!
(하지만 난… 회사 대출금이 있다고ㅠㅠ)

과연 신하리는 무사히 회사를 다닐 수 있을 것인가?!
스릴 가득(?) 오피스 로맨스 <사내 맞선>",카카오웹툰
16,16,16,롱리브더킹,버드나무숲,월,드라마,,"한 여인을 위해 불가능에 도전하는 남자가 있다. 
의리와 사랑을 빼고는 아무것도 없다고 말하는 남자 장세출! 
사랑하는 여인 강소현을 위해, 목숨보다 더 소중한 친구 정춘택을 위해, 
목포 건달 장세출은 대통령이라는 꿈에 도전한다.
[매주 월요일 연재]",카카오웹툰
17,17,17,아도니스,"구당,결정,혜돌이,팀 아도니스",월,로판,,"자신과 누구보다 닮았던 자, 그래서 서로에게만 집중했고 광적으로 집착했다.
다만 한쪽은 상대의 온기를, 한쪽은 완전히 꺾기를 원한 아르하드와 이아나.
주인공 이아나는 적국의 황제가 된 아르하드와의 싸움에서 삶을 미련 없이 끝내지만,
영문도 모른 채, 다시 되살아나 자신이 살아왔던 삶을 반복하게 된다.
전생에서 파국을 맞이하게 된 두 사람은, 새로운 생에서도 또다시 만나게 되고, 비극을 반복하게 되는 것일까….",카카오웹툰
18,18,18,레벨업 닥터 최기석,"스튜디오 질풍,살무,윤백현",월,드라마,,"고아로 자라 그 누구에게도 마음을 열지 않고 
최고의 흉부외과 의사가 되기 위해 피나는 노력을 했던 나 정해진.

갑작스러운 사고로 눈을 떠보니 '정해진'이 아닌 '최기석'으로 
살아가야 하는 것으로도 모자라서 내가 가진 스킬을 <레벨업> 해야 한다고..?


사고 후 송두리째 바뀌어버린 운명..
과연 이제 막 걸음마를 뗀 '최기석'의 몸으로 
'최고의 흉부외과 의사'가 될 수 있을까?
.
.
.
<레벨업 닥터 최기석> 스튜디오질풍
매주 월요일에 연재됩니다.",카카오웹툰
19,19,19,화산권마,"진선규,우각",월,무협,,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다. 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다. 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?",카카오웹툰
20,20,20,모시던 아가씨가 도련님이 되어버렸다,"시그마,태비의별",월,로판,,"조연에 빙의한 지 9년 차, 모시던 아가씨가 도련님이 되어 찾아왔다.

*

원작 여주인공의 시녀 생활을 청산한 지도 4년.
웬 잘생긴 남자가 찾아왔다.
그것도, 내가 모시던 아가씨를 닮은 남자가.

“약속을 지키러 왔어, 블레아. 나와 평생을 함께하겠다고 했잖아.”
“설마… 아가씨?”

순간, 남자의 붉은 눈에 이채가 돌았다.
코앞까지 다가온 그가 고개를 기울여 내 머리카락에 입 맞췄다.
그리고 속삭였다.
아주 다정하고 아름다운 목소리로.

“이젠 도련님이라 불러야지.”

……네?

*

원작대로라면 여주인공, 클로이는 후회에 찌든 가족들을 거느리고
남주인공 후보들과 해피라이프를 즐길 수 있었다.

하지만 연재 중지되었던 원작 소설에는 큰 비밀이 있었으니……
여주인공이 알고 보니 남자라면 어떻게 되는 거지?

“크… 클로드, 가족들에게 가보지 않아도 괜찮아요?”
“말했잖아. 필요 없어.”
“그럼 저번에 그 남자분들은…….”
“지금 내 앞에서 다른 남자 이야기를 하겠다고?”

…그 남자들이 원래 당신이랑 이어져야 했을 남주인공들인데요.

“나는 너만 있으면 돼. 다른 건 알 바 아냐.”

가족 후회물의 주인공께서 모든 걸 다 뻥 차 버리고 내 곁에 있겠다고 선언했다.

“그러니, 블레아. 너도 나만 보는 거야.”

전에 없이 다정한 눈 속에 집착이 가득했다.


*********************

로판 화제작 태비의별 작가님의 <모시던 아가씨가 도련님이 되어버렸다> 본격 웹툰화!
빙의된 하녀 블레아와 츤데레 클로이의 티키타카 찐케미를 만나보세요!!

*********************",카카오웹툰
21,21,21,적기사는 눈먼 돈을 좇지 않는다,"송재민,로시원",월,로판,,"황실 기사 유디트는 한때 돈만 쥐여 주면 뭐든 했던 쓰레기였다.
황실의 개로, 단장의 도구로, 돈의 노예로 살았다.
가난을 핑계 삼아 죄책감을 버렸다.
그러나 끝에 있던 건 배신과 죽음이었다.

하지만 눈 떠보니 6년의 세월을 회귀해 신입 기사 때로 돌아와 있는데…?

'이제 돈 때문에 움직이는 칼잡이는 되지 않겠어.'

이전과는 다른 생을 살겠다며 다짐하는 유디트 앞에
적기사단장이 나타나 스카우트하는데…….

""합당한 대우를 약속하겠다. 적기사단에 소속을 두지 않겠나?""

흑기사였던 과거를 버리고 적기사로서
눈먼 돈을 좇지 않기로 한 유디트.
이번 생은 후회하지 않는 삶을 살 수 있을까?",카카오웹툰
22,22,22,나쁜 아내,"모연,윤소다",월,로맨스,,"늦은 밤, 팀장의 지시에 회사로 향한 은상.
부탁받은 서류를 찾던 중 탕비실에서 야릇한 소리를 듣게 된다. 그러나 그 소리의 주인공이 자신의 남자친구라는 것을 알게 된다. 충격적인 상황 속에서 그녀를 구해 준 것은 사장인 경우였다. 
그 후 경우의 도움으로 남자친구가 퇴사하고, 이별로 모든 일이 끝났다고 생각한 은상. 하지만 그날 밤 일이 사내에 퍼지며 당사자로 몰릴 위기에 놓인다. 그러자 경우는 그녀를 위기에서 구해 주겠다며 황당한 제안을 해오는데.

 “법적인 아내가 되어 준다면, 원하는 모든 것을 해 드리죠.”

모두를 속이고 원하는 것을 얻기 위해 계약된, 사랑 없는 부부생활. 
은상은 제게 주어진 역할 대로 철저히 나쁜 아내를 연기한다. 그러나 경우는 자꾸 계약 이상의 감정을 부딪쳐 오는데……. 은상은 과연, 끝까지 ‘나쁜 아내’를 연기해 낼 수 있을까?",카카오웹툰
23,23,23,하필이면 까마귀가 되어버렸다,"글리,실베스타",월,로판,,"사고로 죽은 뒤 여성향 게임에 환생, 아니 빙의해 버렸다.
…그것도 까마귀로!
내가 까마귀라니! 지나가는 엑스트라1도 아니고 까마귀라니!

주변에 키워 줄 사람을 찾으려 했는데… 나타난 사람이 황태자?

""레이넬, 넌 정말 어쩜 이리도 사랑스럽니.""
""까아아아악, 까악!(그럼 날 데려다 키워 줘!)""

나에게 이름도 지어 주고 사랑도 주는 황태자, 카무트.
어차피 나는 까마귀니까 저놈이 좋아한다 해도,
내가 그의 행동에 설레도 전혀 문제없겠지.
문제가 없을 뻔했는데…….

""안녕, 레이넬?""

나한테 갑자기 무슨 일이 일어난 거지?

※ 본 작품은 동명의 소설을 원작으로 한 웹툰으로, 일부 내용이 웹툰에 맞춰 각색 되어 원작과 다르게 표현될 수 있습니다.",카카오웹툰
24,24,24,유월의 복숭아,"38,유폴히",월,로판,,"레아는 행복한 결혼을 꿈꿔왔다. 두번이나 회귀를 했지만 두번 모두 행복한 결혼 생활은 시원하게 말아먹었고, 세번째 회귀를 했을 때 더는 결혼 따위 하지 않을 거라 결심을 했다. 그렇게 굳게 다짐을 했는데도 결혼 전 잠깐 이야기를 나눴던 줄리앙이라는 남자가 자꾸 눈에 밟힌다. 잘생긴 얼굴과 친절한 면모로 다가온 줄리앙의 청혼에 결국 흔들리게 되어 서약서를 쓰고 다시 결혼을 하게 되었다. 결혼 후 줄리앙의 저택에서 신혼생활을 즐기던 중 줄리앙의 숨겨왔던 비밀의 방을 호기심에 들어가게 되면서 몰랐던 자신의 흔적을 발견하게 된다.",카카오웹툰
25,25,25,스위치,"지뚱,김동찬",월,무협,,"5명의 일진들에게 괴롭힘을 당하던 최백호는
폭력에 굴복해 비굴한 웃음을 지으며
힘겨운 중학 시절을 보내고 있었다.

어느날 일진들의 폭력에 죽음의 공포를 느끼게 된 최백호는
눈앞이 흐려지고 기억이 사라지는 '스위치 온' 상태가 되어
5명의 일진들을 모두 쓰러뜨리게 되고...

그날부터
일진들의 셔틀이었던 최백호는
몰려다니는 놈들만 보면 혼자 달려들어 무자비하게 패 버리는
일진들의 저승사자가 되고 일진들에게 공포의 대상이 된다.

절대강자 도창수가 나타나기 전까지는...",카카오웹툰
26,26,26,후작가의 역대급 막내아들,"케이,넉울히",월,소년,,"명망있는 후작가의 막내아들 잭 발란티에.
남들 보다 못한 가족들 사이에서 유일하게 의지했던 건 누나 뿐!
가문 따위야 멸문을 하든 말든 미련이 없었지만,
누나의 죽음이 헛된 희생인 걸 알게 된 후,
오로지 복수만을 위한 검귀가 되었다.
마침내 서대륙을 지배하는
돌칸 제국을 무너뜨리고, 시산혈해 위의 괴물이 되었을 땐,
다가온 죽음을 겸허히 받아 들였다.

그런데!

14살, 과거로 돌아왔다!
그래, 이건 후회뿐이던 과거를 바로 잡을 기회다.
이번 생엔 두 번 다시 내 사람들을 잃지 않겠다!

후작가의 역대급 막내아들의 통쾌한 회귀 스토리가 시작된다!!

***************************************

넉울히작가님의 인기 웹소설 <후작가의 역대급 막내아들>을 웹툰으로 만나보세요!

***************************************",카카오웹툰
27,27,27,다시 한번 아이돌,"메이 스튜디오,틴타",월,드라마,,"데뷔를 눈앞에 둔 아이돌 그룹의 멤버 ‘서현우’. 프로필 촬영 날 현장 당시의 사고로 인해 한쪽 얼굴에 흉측한 흉터가 생겨 데뷔의 꿈이 무너지게 된다. 매니저의 권유로 아이돌 트레이너를 맡게 되지만 누추한 나날들을 슬픔으로 보내던 어느 날, 담당 아이돌 그룹을 따라 해외로 떠나는 비행기에 올랐으나, 갑작스러운 이변으로 비행기 추락사고가!!! 

 그런데...
 “너 아까부터 잠꼬대를 왜 이렇게 시끄럽게 하냐?”
 “돌았냐느니, 돌아간다느니....”

 정신을 차려보니 한참 데뷔조에 들기 위해 준비하고 있었던 19살 때로 회귀하게 됐다...?  외모는 19살의 외모를 가졌지만, 회귀 전 트레이너 경험으로 다져진 아이돌 서현우. 
그가 다시 한번 아이돌이 되기 위한 성장 이야기!",카카오웹툰
28,28,28,더 라이브,"앤트스튜디오,흑아인",월,소년,,"불의의 사건으로 아내와 딸을 잃은 가장 윤재는 하루하루 절망에 빠져 살던 중, 미래의 자신이 보낸 일기장을 읽게 된다.

“아내와 딸을… 다시 만날 수 있다고?”

'이면 세계'의 '게임'을 이겨내는 자에게 주어지는 '성배', 그것을 사용하면 잃어버렸던 가족과 재회할 수 있다고 하는데…
강자만이 살아남는 잔혹한 세계에서 단 한 명, 미래를 아는 자가 된 윤재. 그는 그토록 바라던 소원을 이룰 수 있을까?",카카오웹툰
29,29,29,두 번째 남편,"고을원,실",월,로맨스,,"""행복하게 해줄게.""

첫 눈에 반했던 연극 배우, 태양과 행복한 결혼에 성공했던 은하.

""이혼하자.""

하지만 부모님의 죽음과 함께 태양의 배신이라는 절망은 한꺼번에 찾아온다.

""이건 내 대학교 때 모습이잖아?!""

그리고 뜻밖의 회귀까지도!

뜬금없이 다시 시작된 2회차 캠퍼스 라이프. 

은하는 '다시는 사랑 따위 하지 않으리라' 결심하고, 
이번 생엔 오로지 부모님과의 실버 타운행만을 꿈꾸지만…

""나한테도 기회가 있는 건가?""

갑작스럽게 마음을 표현하는 오랜 친구 성우. 그리고 또다시 얽혀드는 태양까지.

방심 할 수 없는 2회차 캠퍼스 라이프가 시작된다!",카카오웹툰
30,30,30,뒤끝작렬,"조석호,그린스튜디오","월, 일",드라마,,"“야, 착각하지마. 난 한번도 널 동생으로 생각한 적 없어. 주제를 모르고”
가슴을 파고드는 비수였다. 
한명우.
명석한 두뇌와 재벌가의 자식이었다.
다만 하늘은 모든 걸 주지않았다.
불치병 수준인 선천적 심장병.
이를 악물고 인정받기 위해 최선 또 최선을 다했다. 
그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다. 

그러던 그가 급작스런 사고를 당했다.
그리고......
치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다.
 
건강하다.
아니 건강하다못해 넘친다.
잘돌아가는 머리에 체력까지.......

이제 두 마리 토끼를 잡으러 간다.
꼭 두 마리 토끼여야 했다.",카카오웹툰
31,31,31,"성자는 개뿔, 현대의학의 힘이다","로렌조,함미,고리프",월,소년,,"천재 의사로 의학계에 이름을 떨치던 유성.
수술실을 집처럼 여기던 그는 어느 날 교통사고로 죽게 되고,
정신을 차려 보니 다른 세계로 떨어져 버렸다.

그런데.
성녀…성국…힐링 마법이라고?

""내가 얼마나 힘들게 의학을 배웠는데, 손만 대 놓고 치료 끝?
아, 나. 진짜 미쳐버리겠네.""",카카오웹툰
32,32,32,패왕의 별,"위드칸,강호풍",월,무협,,"강렬하고 붉은 패왕의 별이 떴다!
그 별의 정기를 받고 태어난 아이는 자라나 패왕이 되고
천하(天下)를 지배하게 된다는 전설의 별!

미천한 자리에서 가장 높은 곳에 오르려는 자, 천류영!
“내 그릇의 크기는... 나도 몰라.”
“아직까지 그릇을 채울 만큼 담아본 적이 없거든.”

거침없는 전진으로 패왕을 소유하려는 자, 백운회! 
“어차피 내가 갈 곳은 무림밖에 없다.”
“기왕이면 패왕이 되어 보는 것도 나쁘지는 않겠군.”

아름다움과 강함을 지닌 독보적인 여고수, 독고설! 
“패왕성의 주인이 반드시 남자라는 법은 없지.”
“그러니 나도 가능성이 있어.”

의문어린 과거와 무공의 깊이를 알 수 없는 자, 풍운! 
“아무도 모른다.”
“내 몸 속에 감춰진 강력한 무공을.”

하나의 패왕(覇王)!
하나의 자리를 놓고 벌이는 치열한 야망과 사랑 
그리고 긴박하게 펼쳐지는 수많은 지략과 배신

과연 붉은 패왕성의 주인은 누가 될 것인가?
천하를 격동시키는 그들의 이야기가 
이제 시작된다.",카카오웹툰
33,33,33,혼자 레벨업 합니다,"방개,신필",월,소년,,"짐꾼으로 일하던 한열. 
오매불망 기다리던 각성과 함께 헌터가 되다!
그런데 이게 웬일? 

몬스터를 잡아서 레벨업을 하고, 
행동을 통해 스킬을 획득하라고?

************************************************************
신필 작가님의 인기 웹소설 <혼자 레벨업 합니다>을 웹툰으로 만나보세요!
************************************************************",카카오웹툰
34,34,34,요신기,아이리더,월,소년,,최강 음양사인 비류는 신비한 힘을 갖고 있는 <시공요괴의서>로 인해 환생하게 된다. 전생에서의 적과 그들에 대한 복수의 마음으로 다시 처음부터 수련을 해나가는 비류! 과연 그는 다시 최강의 자리에 오를 수 있을까?,카카오웹툰
35,35,35,후궁계약,"밥꾹,붉은마녀,레죵",월,로맨스,,"사신이란 별명으로 불리는 자객 예서는
어느 날 수상한 남자에게 거액의 비밀 의뢰를 받는다.

""성국 황제의 후궁으로 입궁해 다오. 그게 내 의뢰이다.""

뭐야 이거? 자객을 후궁으로 고용해서 뭘 하려고?

""왜. 존귀하신 황제께서 미녀 자객한테 한번 먹혀보고 싶대?""
""뭐 그쪽도 전혀 흥미가 없는 건 아닌데.""

……농담이 안 통하는 의뢰인이네.

망설임은 컸지만 거액의 선금을 챙긴 뒤 의뢰를 받았다.
그런데…… 의뢰인 이 자식? 황제 본인이었어?!

* * * * *

 어쩌다 후궁이 된 인.간.흉.기 예서와
 진짜 정체야 어찌됐든 두 얼굴의 예서에게 푹 빠진 능력남들의
 달달쓰 & 살벌쓰한 동양풍 퓨전 로맨스 판타지 ! ! !",카카오웹툰
36,36,36,상사와의 수상한 잠자리,"GYU,가현",월,로맨스,,"3년간 헌신한 남자친구에게 헌신짝처럼 버려진 은수.
홧김에 클럽으로 놀러 갔다가 일이 좀 이상하게 흘러간 모양이다……?

“지독한 불면증입니다. 그런데 당신 곁에서는 잠이 왔어요.”
‘어디서 약을 팔려고. 그렇게 잘 자 놓고서는!’

술에 취해 정말 ‘잠만’ 자고 헤어진 상대가
자신을 애타게 찾았다며 얼토당토않은 소리를 하는데.

“오늘도 당신과 자고 싶어요. 그냥 자기만 하는 겁니다.”

그러나 끈질긴 남자의 요구에 한 번 더 재워 주게 된 은수.
남자가 잠든 사이, 거짓 번호를 알려 주고 도망쳐 나온다.

“반갑습니다. 채은수 씨. 본부장 서도진입니다.”

그런데 며칠 후, 기획팀에 새로 부임한 본부장은
그날 은수가 도망치듯 두고 나온 바로 그 남자였다!

“우선 1년만 사귀어 봅시다.”

심지어 ‘밤’을 함께하는 조건으로 계약연애까지 제안해 오는데!
계약연애로 이어진 하룻밤 인연, 과연 그 결말은……?!",카카오웹툰
37,37,37,버려진 아내에게 새 남편이 생겼습니다,"랍스타,한하연",월,로판,,"[전 남편에게 치욕적으로 버림받은 클로에 앞에 새로운 남자가 나타난다]

“아내 판매로군.”
클로에는 강압적이고 폭력적이었던 남편에게 결국 버림받는다.
그것도 치욕적인 ‘아내 판매’로.

허름하고 비좁은 술집, 그리고 술집보다 더 별볼일 없는 남자들 앞에서
클로에가 삼백 레안에 팔려나갈 위기에 처했을 때,

오만 레안이라는 거금을 내건 정체 모를 남자, 애쉬 브리니클이 나타난다.",카카오웹툰
