,genre,cluster_num,words
3,액션,3,"['위하', '공약', '주인공']"
0,개그,0,"['제임스', '남극', '최면']"
0,드라마,0,"['미스터리', '타워', '하루아침']"
1,드라마,1,"['승리', '그녀', '행복']"
2,드라마,2,"['마음', '하루', '주부']"
3,드라마,3,"['고양이', '조선', '시대']"
4,드라마,4,"['변호사', '드라마', '상제']"
5,드라마,5,"['소녀', '남자', '이야기']"
6,드라마,6,"['환자', '의사', '병원']"
7,드라마,7,"['아슬아슬', '대학', '선배']"
8,드라마,8,"['연애', '여자', '군대']"
9,드라마,9,"['특별', '외모', '친구']"
10,드라마,10,"['자신', '살아가', '존재']"
11,드라마,11,"['멸망', '탐정', '만족']"
12,드라마,12,"['라이', '식이', '이야기']"
13,드라마,13,"['리뷰', '영화', '루가']"
14,드라마,14,"['어제', '거꾸로', '그리']"
15,드라마,15,"['마녀', '고향', '왕자']"
16,드라마,16,"['캐릭터', '능력', '모두']"
17,드라마,17,"['스토리', '장착', '돌아오']"
18,드라마,18,"['소심', '성격', '감성']"
19,드라마,19,"['방송', '인터넷', '캠프']"
20,드라마,20,"['우비', '센터', '아빠']"
21,드라마,21,"['위하', '지옥', '일진']"
22,드라마,22,"['재능', '유연', '스타']"
23,드라마,23,"['귀신', '무당', '공룡']"
24,드라마,24,"['할머니', '아이', '이야기']"
0,로판,0,"['소설', '원작', '주인공']"
1,로판,1,"['그녀', '결혼', '황제']"
0,일상,0,"['일기', '혼자', '맛있']"
0,스릴러,0,"['마을', '종교', '사건']"
1,스릴러,1,"['공포', '스릴러', '에피소드']"
2,스릴러,2,"['일상', '평범', '옆집']"
3,스릴러,3,"['자신', '살인', '발견']"
4,스릴러,4,"['밀실', '위험', '도시']"
0,BL,0,"['느끼', '사귀', '계속']"
1,BL,1,"['동거', '도연', '다시']"
2,BL,2,"['주원', '녀석', '10']"
3,BL,3,"['연하', '상수', '수인']"
0,소년,0,"['다섯', '유풍', '살의']"
1,소년,1,"['마법사', '대륙', '마법']"
2,소년,2,"['사용', '막내아들', '최강']"
3,소년,3,"['마왕', '용사', '세계']"
4,소년,4,"['재능', '현성', '특성']"
5,소년,5,"['영웅', '리셋', '전설']"
6,소년,6,"['만화', '소년', '바람']"
7,소년,7,"['레벨', '각성', '스킬']"
8,소년,8,"['정령', '명계', '인간']"
9,소년,9,"['나타나', '트러블', '세상']"
10,소년,10,"['게임', '현우', '보이']"
11,소년,11,"['시스템', '몬스터', '세상']"
12,소년,12,"['플레이어', '게임', '세상']"
13,소년,13,"['게임', '가상현실', '현실']"
14,소년,14,"['멸망', '지구', '만이']"
15,소년,15,"['스킬', '최강', '전투']"
16,소년,16,"['세계', '재능', '여왕']"
17,소년,17,"['좀비', '현은', '초능력']"
18,소년,18,"['인류', '마지막', '돌아오']"
19,소년,19,"['성좌', '막강', '주위']"
20,소년,20,"['선우', '시티', '도시']"
21,소년,21,"['지구', '지옥', '돌아가']"
22,소년,22,"['마법', '마도', '흡수']"
23,소년,23,"['게임', '유저', '각성']"
24,소년,24,"['번째', '상어', '소설']"
0,무협,0,"['천하', '제일', '남궁']"
1,무협,1,"['시스템', '세계', '무협']"
2,무협,2,"['제자', '천하', '움켜쥐']"
3,무협,3,"['각성', '멸시', '달리']"
4,무협,4,"['가문', '신비', '고수']"
5,무협,5,"['무림', '사부', '정파']"
6,무협,6,"['일진', '시절', '내버리']"
7,무협,7,"['폐인', '복수', '흡수']"
8,무협,8,"['무림', '지존', '약골']"
9,무협,9,"['아비', '산군', '새끼']"
10,무협,10,"['강호', '세상', '부릅뜨']"
11,무협,11,"['수련', '가문', '자루']"
12,무협,12,"['주먹', '레드', '전설']"
13,무협,13,"['임무', '킬러', '시스템']"
14,무협,14,"['폐물', '복수극', '통쾌']"
15,무협,15,"['무인', '마을', '최고']"
16,무협,16,"['혈맥', '따라오', '학습']"
0,스포츠,0,"['축구', '청춘', '드라마']"
0,로맨스,0,"['지호', '남도', '스트레스']"
1,로맨스,1,"['여배우', '연기', '남자']"
2,로맨스,2,"['하룻밤', '남자', '보내']"
3,로맨스,3,"['키스', '어른', '남자']"
4,로맨스,4,"['인연', '미남', '그녀']"
5,로맨스,5,"['황후', '사랑', '그녀']"
6,로맨스,6,"['외모', '악마', '만들']"
7,로맨스,7,"['남편', '이혼', '갑작스럽']"
8,로맨스,8,"['저주', '친구', '소꿉']"
9,로맨스,9,"['남친', '오피스', '로맨스']"
10,로맨스,10,"['예언', '타르', '현태']"
11,로맨스,11,"['스무', '설레', '마음']"
12,로맨스,12,"['언니', '남자', '유혹']"
13,로맨스,13,"['남편', '부인', '미래']"
14,로맨스,14,"['후궁', '황태자', '그녀']"
15,로맨스,15,"['연애', '우리', '짝사랑']"
16,로맨스,16,"['로맨스', '남녀', '만나']"
17,로맨스,17,"['학교', '배우', '감정']"
18,로맨스,18,"['여리', '뮤즈', '키스']"
19,로맨스,19,"['재벌', '가빈', '주원']"
20,로맨스,20,"['비서', '남장', '욕망']"
21,로맨스,21,"['귀신', '공모전', '수상작']"
22,로맨스,22,"['조선', '그대', '은명']"
23,로맨스,23,"['고객', '철저', '꼬이']"
24,로맨스,24,"['결혼', '회사', '계약']"
25,로맨스,25,"['바람', '캠퍼스', '복학']"
26,로맨스,26,"['여름', '첫사랑', '소녀']"
27,로맨스,27,"['카페', '운영', '예능']"
28,로맨스,28,"['주경', '여신', '인기']"
29,로맨스,29,"['부부', '건하', '쇼윈도']"
30,로맨스,30,"['본부장', '남자', '의대생']"
0,판타지,0,"['마녀', '오컬트', '계약']"
1,판타지,1,"['도시', '세계', '액션']"
2,판타지,2,"['마법사', '마법', '오지오']"
3,판타지,3,"['가지', '소녀', '짐승']"
4,판타지,4,"['소년', '소녀', '모든']"
5,판타지,5,"['영웅', '강림', '지구인']"
6,판타지,6,"['마왕', '판타지', '매직']"
7,판타지,7,"['초보', '스킬', '토리']"
8,판타지,8,"['세상', '몬스터', '사람']"
9,판타지,9,"['정체불명', '신묘', '부부']"
